SUBURB,LOC_PID,Centroid_Latitude,Centroid_Longitude
UNDERBOOL,VIC2615,-35.1253217778075,141.83163389967913
NURRAN,VIC1986,-37.54224713912832,148.62518738673825
WOORNDOO,VIC2862,-37.91929744673916,142.79266404817952
DEPTFORD,VIC734,-37.588443060978236,147.67825448673915
YANAC,VIC2900,-36.08894895441177,141.39431399588233
MINIMAY,VIC1688,-36.728049206239305,141.19864484247861
GLEN FORBES,VIC999,-38.4514996835321,145.53563947233943
ADAMS ESTATE,VIC7,-38.42541836052632,145.5323099705263
CARAG CARAG,VIC477,-36.46095923933332,144.90359665766664
CANNUM,VIC467,-36.258096337868864,142.26185103131147
WALLUP,VIC2666,-36.360700026333326,142.254939426
MURRA WARRA,VIC1835,-36.4312021091228,142.24789179122808
KALKEE,VIC1280,-36.55279315899999,142.21821879350003
WAIL,VIC2649,-36.51599582141669,142.02800904350005
PIMPINIO,VIC2068,-36.63204923678343,142.00466769009563
DOOEN,VIC771,-36.69311009971336,142.2417957778831
VECTIS,VIC2627,-36.71952687756072,142.04871334218015
QUANTONG,VIC2129,-36.75763045744696,142.0279731310727
STANHOPE,VIC2353,-36.4514472923913,144.98980815500002
TERRICK TERRICK,VIC2493,-36.12145170737013,144.29647128392847
METCALFE EAST,VIC1666,-37.13847240240224,144.46536448094972
OMEO,VIC2007,-37.115853248865676,147.5995065923659
YAPEEN,VIC2908,-37.132724651987864,144.16876053943187
LOGAN,VIC1526,-36.602027833595514,143.46015229391014
TOM GROGGIN,VIC2530,-36.53691576169265,148.1053583885155
TAMBOON,VIC2435,-37.73041332903742,149.1784935369517
WONGUNGARRA,VIC2828,-37.284660027415086,146.95877643286408
WILSONS PROMONTORY,VIC2802,-38.9421533990902,146.38575056411474
GUILDFORD,VIC1108,-37.15624527028316,144.16736033366794
WILLAURA,VIC2791,-37.5598740522348,142.73585992659088
COBBERAS,VIC587,-36.85568336498201,148.08167851093526
MACLEOD,VIC1559,-37.720322164272055,145.07679485040575
HEIDELBERG WEST,VIC1161,-37.73832729603904,145.03743054401426
MONEGEETTA,VIC1722,-37.393572082628886,144.7853206253092
PERONNE,VIC2056,-36.68399703514562,141.3517022043689
TUTYE,VIC2594,-35.18480796963416,141.47604801768296
MOORALLA,VIC1743,-37.36931568366668,142.12658879616666
DUNKELD,VIC804,-37.62622722627615,142.36604947012543
SUGGAN BUGGAN,VIC2391,-36.96045239918258,148.3915160311171
BAW BAW,VIC166,-37.838908158419876,146.28659911988103
LARPENT,VIC1465,-38.350508446442305,143.51550442701927
MURROON,VIC1844,-38.40767023883888,143.7827080926541
WAHRING,VIC2648,-36.6821930015584,145.22217563430235
COOJAR,VIC621,-37.35942262740001,141.6897313018
SEAVIEW,VIC2257,-38.284976909936326,145.97024265124196
LABERTOUCHE,VIC1413,-38.024397603083585,145.77261681567953
DEEPDENE,VIC2999,-37.81391192319728,145.06649054129255
DROUIN WEST,VIC788,-38.07803082065024,145.87820700688331
JINDIVICK,VIC1263,-38.04161053048273,145.9064636340552
GREENS CREEK,VIC1095,-36.94821703707919,142.8769793475494
MURRAYVILLE,VIC1841,-35.23083618472079,141.20017469395935
EDENHOPE,VIC838,-37.055109104550915,141.2790193673054
WARRACKNABEAL,VIC2701,-36.231329111693775,142.4017253057166
DARTMOOR,VIC716,-37.87244377526604,141.37852152949196
DANDONGADALE,VIC708,-36.86266431168671,146.73095279693973
GELANTIPY,VIC965,-37.19847636025027,148.1984997711889
LINGA,VIC1508,-35.17295672208331,141.67950108499997
BOINKA,VIC270,-35.15711059137429,141.56137170283625
TENBY POINT,VIC2488,-38.409564531891895,145.47634062135137
CORONET BAY,VIC643,-38.43882134996016,145.43280386693212
CORINELLA,VIC638,-38.410170683317034,145.44047951436474
CROYDON SOUTH,VIC683,-37.81580552595957,145.27818737782823
BANKSIA PENINSULA,VIC2992,-37.95064417034288,147.67617156742867
GEORGES CREEK,VIC972,-36.153034349464285,147.2553096671651
PASCOE VALE,VIC2037,-37.725150548113525,144.93716882460143
KULWIN,VIC1400,-34.98980203579544,142.60570693465905
WALPEUP,VIC2669,-35.12867708401359,142.03604880312915
WYCHEPROOF,VIC2878,-36.07652337614679,143.2446408533945
MARENGO,VIC1597,-38.77469985658769,143.65525536734597
CAPE OTWAY,VIC472,-38.790775212278554,143.567394190675
